Marca de temps;Nom i cognoms;Comentaris;Amb qui vols treballar? (1a opció);Amb qui vols treballar? (2a opció);Amb qui vols treballar? (3a opció);Amb qui prefereixes NO coincidir? (Separar 1);Observacions del tutor/a
12/05/2026 9:02;Aina Bosch Prat;;Berta Camps Roig;Ona Freixes;Ivet Molins Ferrer;;
12/05/2026 9:03;Arnau Ferrer Vidal;;Biel Sala Monfort;Lluc Amat;Nil Casals Duran;;
12/05/2026 9:05;Berta Camps Roig;;Aina Bosch;Ona Freixes Marí;Carla Ruiz Bonet;Marçal Gibert Soler;
12/05/2026 9:06;Biel Sala Monfort;;Arnau Ferrer;Nil Casals;Lluc Amat Pujol;;
12/05/2026 9:08;Carla Ruiz Bonet;;Berta Camps;Maia Torras Rius;;;
12/05/2026 9:10;Dídac Pons Serra;;Eric Llop Mateu;Guillem Sanz;Pol Quer Ferran;;
12/05/2026 9:11;Elna Vila Grau;;Júlia Ortiz Bages;Vera Solans Grau;Paula Nogué;;
12/05/2026 9:13;Eric Llop Mateu;;Dídac Pons;Guillem Sanz Oliva;;;
12/05/2026 9:15;Gala Riu Costa;;Sara Llobet Pi;Queralt Dalmau Rius;Vera Solans;;
12/05/2026 9:16;Guillem Sanz Oliva;;Eric Llop;Dídac Pons Serra;Jan Puig Alsina;;
12/05/2026 9:18;Ivet Molins Ferrer;;Aina Bosch Prat;Ona Freixes Marí;;Èric Prats Camí;
12/05/2026 9:20;Jan Puig Alsina;;Guillem Sanz;Roger Mestre Coll;;;
12/05/2026 9:22;Júlia Ortiz Bages;;Elna Vila Grau;Paula Nogué Serrat;Vera Solans;;
12/05/2026 9:24;Lluc Amat Pujol;;Nil Casals Duran;Arnau Ferrer Vidal;Biel Sala;;
12/05/2026 9:25;Maia Torras Rius;;Carla Ruiz Bonet;Berta Camps Roig;;Oriol Bages Tena;
12/05/2026 9:27;Marçal Gibert Soler;;Ton Escudé Vidal;Xavi Piera Lluch;;Pol Quer Ferran;
12/05/2026 9:29;Nadia Ait Benali;;Sara Llobet;Gala Riu Costa;Queralt Dalmau;Piera Lluch, Xavi;
12/05/2026 9:31;Nil Casals Duran;;Lluc Amat Pujol;Biel Sala Monfort;Arnau Ferrer;;
12/05/2026 9:33;Ona Freixes Marí;;Ivet Molins;Aina Bosch Prat;Berta Camps;;
12/05/2026 9:35;Oriol Bages Tena;;Roger Mestre;Jan Puig Alsina;;;
12/05/2026 9:36;Paula Nogué Serrat;;Júlia Ortiz;Elna Vila Grau;;;
12/05/2026 9:38;Pol Quer Ferran;;Dídac Pons Serra;Ton Escudé;;marçal gibert;
12/05/2026 9:40;Queralt Dalmau Rius;;;;;Oriol Bages;
12/05/2026 9:42;Roger Mestre Coll;;Oriol Bages Tena;Jan Puig;;;
12/05/2026 9:44;Sara Llobet Pi;;Gala Riu Costa;Roger Mestre Coll;Nadia Ait Benali;Roger Mestre Coll;
12/05/2026 9:46;Ton Escudé Vidal;;Marçal Gibert;Pol Quer Ferran;;;
12/05/2026 9:47;vera solans grau;;Elna Vila;Júlia Ortiz Bages;Gala Riu;;
12/05/2026 9:49;Xavi Piera Lluch;;Marçal Gibert Soler;Ton Escudé Vidal;;;
12/05/2026 13:12;Jan Puig Alsina;;Guillem Sanz Oliva;Roger Mestre Coll;;Maia Torras Rius;
