Marca de temps;Nom i cognoms;Comentaris;Amb qui vols treballar? (1a opció);Amb qui vols treballar? (2a opció);Amb qui vols treballar? (3a opció);Observacions del tutor/a
12/05/2026 9:03;Anna Nadal Llobet;;Núria Peris Coll;Irene Roca;Martina Ripoll Vilà;
12/05/2026 9:05;Pau Bonet Serrat;;Enric Sanz Amat;Quim Ouali Marcé;Irene Roca;
12/05/2026 9:08;Nil Fuentes Solà;;Martina Ripoll;Laia Benítez;Noa Bosch Reig;
12/05/2026 9:10;Jana Moret Fàbregas;;Ignasi Lloret;Aina Gil;Carla Gil;
12/05/2026 9:13;Marc Ouali Alsina;;Ivan Mas;Arnau Grau;Clara Benítez;
12/05/2026 9:15;Laia Benítez Fàbregas;;Yasmin Bonet Amat;;;
12/05/2026 9:16;Biel Ferrer Serrat;;Alba Tort Aguiló;Said Sala;Blanca Valls Serrat;
12/05/2026 9:18;Júlia Riera Amat;;;;;
12/05/2026 9:21;Arnau Grau Marcé;;Marc Ouali Alsina;Ivan Mas;Berta Prat Reig;
12/05/2026 9:24;Emma Mas Pujadas;;Pol Moret;Lluc Lloret;Adrià Lloret;
12/05/2026 9:26;Pol Moret Cortés;;Aran Bonet Reig;Lluc Lloret;Clara Benítez;
12/05/2026 9:28;Martina Ripoll Vilà;;Nil Fuentes;Rita Roca;;
12/05/2026 9:29;Roca Vilà, Roc;;Omar Vidal;Elna Moret;Ona Camps Alsina;
12/05/2026 9:30;Ona Camps Alsina;;Gala Gil Marcé;Hug Bonet;Lluc Lloret;
12/05/2026 9:32;Guiu Ndiaye Amat;;Liam Vidal;Clara Benítez;Carla Gil;
12/05/2026 9:33;Berta Prat Reig;;Fatima Gil Llobet;Ignasi Lloret;Lola Ripoll Aguiló;
12/05/2026 9:35;Lluc Lloret Rovira;;Pol Moret;Emma Mas;Nora Mas;
12/05/2026 9:38;Aina Gil Fàbregas;;Fatima Gil;Jana Moret;Rita Roca Serrat;
12/05/2026 9:40;Bruno Ferrer Torrent;;Irene Roca;Júlia Riera;Gerard Moret Estruch;
12/05/2026 9:43;Carla Gil Aguiló;;Ariadna Bru Reig;Enric Sanz Amat;Ferran Benítez Cortés;
12/05/2026 13:24;Arnau Grau Marcé;;Ivan Mas;Marc Ouali Alsina;Berta Prat Reig;
12/05/2026 9:44;Oriol Bonet Reig;;Blanca Valls;Aleix Valls Aguiló;Anna Nadal Llobet;
12/05/2026 9:47;Nora Mas Marcé;;Arnau Grau Marcé;Ivan Mas;Emma Mas;
12/05/2026 9:48;Iu Rossell Amat;;Noa Bosch;;;
12/05/2026 9:51;Mar Rius Fàbregas;;Noa Bosch;Iu Rossell Amat;Nil Fuentes;
12/05/2026 9:52;Gerard Moret Estruch;;Lluc Lloret;Pol Moret;Said Sala;
12/05/2026 9:55;Alba Tort Aguiló;;Said Sala;Sira Ollé Marcé;Bruno Ferrer;
12/05/2026 9:56;Quim Ouali Marcé;;Carla Gil Aguiló;Ariadna Bru Reig;Roc Roca;
12/05/2026 9:59;Irene Roca Solà;;Júlia Riera;Bruno Ferrer;Blanca Valls;
12/05/2026 9:00;Teo Cabré Estruch;;Jan Benítez;Liam Vidal;Elna Moret;
12/05/2026 9:01;Clara Benítez Solà;;Guiu Ndiaye Amat;Liam Vidal Reig;Isaac Duran;
12/05/2026 9:04;aleix valls aguiló;;;;;
12/05/2026 9:05;Blanca Valls Serrat;;Oriol Bonet;Txell Oliva;Sira Ollé Marcé;
12/05/2026 9:08;Ferran Benítez Cortés;;Biel Ferrer;Said Sala Llobet;Dídac Prat;
12/05/2026 9:11;Noa Bosch Reig;;Vera Oliva Gomis;Isaac Duran Coll;Anna Nadal Llobet;
12/05/2026 9:13;Isaac Duran Coll;;Mar Rius Fàbregas;Vera Oliva;Pau Bonet;
12/05/2026 9:16;Rita Roca Serrat;;Martina Ripoll Vilà;Laia Benítez Fàbregas;Emma Mas Pujadas;
12/05/2026 9:17;Dídac Prat Cortés;;Ivan Mas Pujadas;Nora Mas Marcé;Omar Vidal;
12/05/2026 9:19;Vera Oliva Gomis;;Mar Rius;Isaac Duran;Arnau Grau Marcé;
12/05/2026 9:21;Enric Sanz Amat;;Carla Gil Aguiló;Pau Bonet;Nil Fuentes;
12/05/2026 9:22;Lola Ripoll Aguiló;;Omar Vidal;;;
12/05/2026 9:23;Nahia Tort Reig;;Ruben Vidal;Gala Gil Marcé;Arnau Grau Marcé;
12/05/2026 9:25;Adrià Lloret Coll;;Elna Moret Solà;Lola Ripoll;Bruna Serrat Vidal;
12/05/2026 9:27;Gala Gil Marcé;;Nahia Tort;Hug Bonet Reig;Guiu Ndiaye;
12/05/2026 9:29;Hug Bonet Reig;;Nahia Tort;Ona Camps;Aina Gil;
12/05/2026 9:32;Sira Ollé Marcé;;Alba Tort;Said Sala Llobet;Ariadna Bru;
12/05/2026 9:34;Jan Benítez Reig;;Guiu Ndiaye;Teo Cabré;Nora Mas;
12/05/2026 9:35;Elna Moret Solà;;Lola Ripoll;Omar Vidal;Oriol Bonet;
12/05/2026 9:36;Ruben Vidal Marcé;;Hug Bonet Reig;Gala Gil;Jan Benítez Reig;
12/05/2026 9:39;Txell Oliva Gomis;;Aleix Valls;Blanca Valls;Roc Roca Vilà;
12/05/2026 9:42;Ivan Mas Pujadas;;Arnau Grau Marcé;Dídac Prat;;
12/05/2026 9:43;Aran Bonet Reig;;Gerard Moret Estruch;Lluc Lloret;Biel Ferrer Serrat;
12/05/2026 9:45;Núria Peris Coll;;Bruno Ferrer Torrent;Anna Nadal;Pol Moret;
12/05/2026 9:46;Said Sala Llobet;;Biel Ferrer;Alba Tort;Lluc Lloret;
12/05/2026 9:47;Yasmin Bonet Amat;;;;;
12/05/2026 9:49;Omar Vidal Massip;;Elna Moret;Lola Ripoll;Lluc Lloret;
12/05/2026 9:52;Fatima Gil Llobet;;Jana Moret;Ignasi Lloret;Aran Bonet;
12/05/2026 9:53;Liam Vidal Reig;;Clara Benítez;;;
12/05/2026 9:54;Ariadna Bru Reig;;Carla Gil Aguiló;Pau Bonet;Omar Vidal Massip;
12/05/2026 9:57;Ignasi Lloret Estruch;;Berta Prat;Fatima Gil;Lluc Lloret;
12/05/2026 9:58;Rut Duran Alsina;;Txell Oliva Gomis;Aleix Valls;Hug Bonet;
